name,fullname,synonyms,three_letter_code,parent,drugbank_id,release_status
C8J,"(2~{R})-5-[2-(3-aminocarbonylphenyl)ethyl-[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl]amino]-2-azanyl-pentanoic acid",,C8J,,,REL
C8M,"3-[{[(2R,3S,4R,5R)-5-(6-amino-8-methyl-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}(methyl)amino]propanamid
e
",5'-[(2-carboxamidomethyl)methylamino]-5'-deoxy-8-methyladenosine,C8M,,,REL
C8P,"N-{(1S,2S,3R)-1-[(alpha-D-galactopyranosyloxy)methyl]-2,3-dihydroxyheptadecyl}-8-phenyloctanamide","(2S,3S,4R)-N-PHENYLOCTANOYL-1-[(ALPHA-D-GALACTOPYRANOSYL)OXY]-2-AMINO-OCTADECANE-3,4-DIOL",C8P,,,REL
C8R,"8-Amino-N1-Cyclic Inosine 5'-Diphosphoribose
",,C8R,,,REL
CA0,5'-O-[(S)-(carbamoyloxy)(hydroxy)phosphoryl]adenosine,,CA0,,,REL
CA3,COA-S-TRIMETHYLENE-ACETYL-TRYPTAMINE,,CA3,,DB01777,REL
CA5,COA-S-ACETYL 5-BROMOTRYPTAMINE,,CA5,,DB03341,REL
CA7,7-cyclohexylheptyl 4-O-alpha-D-glucopyranosyl-beta-D-glucopyranoside,,CA7,,,REL
CAA,ACETOACETYL-COENZYME A,,CAA,,DB03059,REL
CAG,"GUANOSINE 5'-TRIPHOSPHATE P3-[1-(2-NITROPHENYL)ETHYL ESTER]
",,CAG,,,REL
CAI,CARBOMYCIN A,,CAI,,DB11383,REL
CAO,OXIDIZED COENZYME A,,CAO,,DB01846,REL
CAR,"CYTOSINE ARABINOSE-5'-PHOSPHATE
",,CAR,DC,DB02456,REL
CAW,"N-[[(2R,3R,4S,5S,6R)-6-(hydroxymethyl)-3,4,5-tris(oxidanyl)oxan-2-yl]carbamoyl]naphthalene-1-carboxamide",,CAW,,,REL
CB2,"PHOSPHORIC ACID MONO-[5-(4-AMINO-5-BROMO-2-OXO-2H-PYRIMIDIN-1-YL)-3,4-DIHYDROXY-TETRAHYDRO-FURAN-2-YLMETHYL] ESTER",5-BROMO-CYTIDINEMONOPHOSPHATE,CB2,DC,,OBS
CBF,"(2R,3R,4S,5S,6R)-2,3,4,5-tetrahydroxy-6-(hydroxymethyl)oxane-2-carboxamide",C-(1-HYDROGYL-BETA-D-GLUCOPYRANOSYL) FORMAMIDE,CBF,,DB02719,REL
CBI,CELLOBIOSE,,CBI,,,OBS
CBK,4-O-beta-D-glucopyranosyl-alpha-D-glucopyranose,,CBK,,,OBS
CBN,CLOROBIOCIN,,CBN,,DB03966,REL
CBR,5-BROMO-2'-DEOXY-CYTIDINE-5'-MONOPHOSPHATE,,CBR,DC,,REL
CBV,"5-BROMOCYTIDINE 5'-(DIHYDROGEN PHOSPHATE)
",,CBV,C,,REL
CC5,BETA-D-ERYTHROFURANOSYL-ADENOSINE,,CC5,,,REL
CC7,"4-amino-1-[(2S,4aR,6R,7R,7aS)-2,7-dihydroxy-2-oxidotetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-6-yl]pyrimidin-2(1H)-one",,CC7,,,REL
CCC,"CYTIDINE-5'-PHOSPHATE-2',3'-CYCLIC PHOSPHATE
",,CCC,C,,REL
CCI,CALICHEAMICIN GAMMA-1-OLIGOSACCHARIDE,,CCI,,,REL
CCQ,L-CARNITINYL-COA INNER SALT,"O5'-(4-(3-{2-[2-((R)-3-HYDROXY-4-(TRIMETHYLAMMONIO)-1-OXO-BUTYL)SULFANYL-ETHYLCARBAMOYL]-ETHYLCARBAMOYL}-(R)-3-HYDROXY-2,2-DIMETHYL-PROPYL)-1-HYDROXY-3-OXIDO-1,3-DIOXO-2,4-DIOXA-1,3-DIPHOSPHABUT-1-YL) 3'-PHOSPHO-ADENOSINE",CCQ,,DB02516,REL
CDC,[2-CYTIDYLATE-O'-PHOSPHONYLOXYL]-ETHYL-TRIMETHYL-AMMONIUM,,CDC,,DB12153,REL
CDF,4-AMINO-1-{5-O-[(R)-HYDROXY(PHOSPHONOOXY)PHOSPHORYL]-ALPHA-D-ARABINOFURANOSYL}PYRIMIDIN-2(1H)-ONE,,CDF,,,REL
CDG,"METHYL 4,6-O-[(1R)-1-CARBOXYETHYLIDENE]-BETA-D-GALACTOPYRANOSIDE",,CDG,,DB01651,REL
CDM,4-DIPHOSPHOCYTIDYL-2-C-METHYL-D-ERYTHRITOL,,CDM,,DB03687,REL
CDP,CYTIDINE-5'-DIPHOSPHATE,,CDP,,DB04555,REL
CDR,"(2R,5S,6R)-6-methyltetrahydro-2H-pyran-2,5-diol","2,3-DIDEOXYFUCOSE",CDR,,DB03872,REL
CDW,"(4R)-3-(2-DEOXY-5-O-PHOSPHONO-BETA-D-ERYTHRO-PENTOFURANOSYL)-1,3-DIAZABICYCLO[2.2.0]HEX-5-EN-2-ONE",,CDW,DC,,REL
CDY,2-CHLORODIDEOXYADENOSINE,,CDY,,DB02103,REL
CE5,CELLOPENTAOSE,,CE5,,,OBS
CE6,CELLOHEXAOSE,,CE6,,,OBS
CE8,CELLOOCTAOSE,,CE8,,,OBS
CEG,"4,6-O-[(1S)-1-carboxyethylidene]-beta-D-glucopyranose","4,6-O-(1-CARBOXYETHYLIDENE)-BETA-D-GLUCOSE<br> 4,6-O-[(1S)-1-carboxyethylidene]-beta-D-glucose<br>
4,6-O-[(1S)-1-carboxyethylidene]-D-glucose<br> 4,6-O-[(1S)-1-carboxyethylidene]-glucose
",CEG,BGC,,REL
CEX,"alpha-D-glucopyranosyl-(1->4)-alpha-D-glucopyranosyl-(1->4)-alpha-D-glucopyranosyl-(1->4)-alpha-D-glucopyranosyl-(1->4)
 -alpha-D-glucopyranose
",maltopentaose,CEX,,,OBS
CEY,"alpha-D-glucopyranosyl-(1->4)-alpha-D-glucopyranosyl-(1->4)-alpha-D-glucopyranosyl-(1->4)-alpha-D-glucopyranosyl-(1->4)
 -alpha-D-glucopyranosyl-(1->4)-alpha-D-glucopyranose
",maltohexaose,CEY,,,OBS
CEZ,4-O-beta-D-glucopyranosyl-D-gluconic acid,cellobionic acid<br> 4-O-beta-D-glucosyl-D-gluconic acid<br> 4-O-D-glucosyl-D-gluconic acid<br> 4-O-glucosyl-D-gluconic acid,CEZ,BGC,,REL
CF2,"2'-deoxy-5'-O-{[2-(7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2H)-yl)ethyl]carbamoyl}guanosine",,CF2,,,REL
CF5,"COFORMYCIN 5'-PHOSPHATE
",,CF5,,,REL
CFB,2-CHLORO-9-(2-DEOXY-2-FLUORO-B -D-ARABINOFURANOSYL)-9H-PURIN-6-AMINE,CLOFARABINE,CFB,,DB00631,REL
CFE,"(8R)-3-beta-D-ribofuranosyl-3,6,7,8-tetrahydroimidazo[4,5-d][1,3]diazepin-8-ol",Coformycin,CFE,,,REL
CFL,4-amino-1-(2-deoxy-2-fluoro-5-O-phosphono-beta-D-arabinofuranosyl)pyrimidin-2(1H)-one,2'-FLUORO-2'-DEOXY-CYTIDINE-5'-MONOPHOSPHATE,CFL,DC,,REL
CFZ,"2'-deoxy-2'-fluorocytidine 5'-(dihydrogen phosphate)
",,CFZ,DC,,REL
CG1,5'-O-[(R)-hydroxy(methoxy)phosphoryl]guanosine,,CG1,G,,REL
CG2,CYTIDYL-2'-5'-PHOSPHO-GUANOSINE,,CG2,,DB03638,REL
CGF,C-(1-AZIDO-ALPHA-D-GLUCOPYRANOSYL) FORMAMIDE,,CGF,,DB03286,REL
CGM,"(4R,5S,6S,7R,9R,11E,13E,15S,16R)-16-ethyl-4-hydroxy-5,9,13,15-tetramethyl-2,10-dioxo-7-(2-oxoethyl)-1-oxacyclohexadeca-11,13-dien-6-yl 3,6-dideoxy-3-(dimethylamino)-beta-D-glucopyranoside",,CGM,,,REL
CGP,"2'-DEOXYCYTIDINE-2'-DEOXYGUANOSINE-3',5'-MONOPHOSPHATE",,CGP,,DB03326,REL
CGR,CYCLIC GUANOSINE DIPHOSPHATE-RIBOSE,CYCLIC GDP-RIBOSE,CGR,,,REL
CGY,"(1R)-1,4-anhydro-2-deoxy-1-[2,6-diamino-5-(dihydroxyamino)pyridin-3-yl]-5-O-phosphono-D-erythro-pentitol",,CGY,,,REL
CH,"N3-PROTONATED CYTIDINE-5'-MONOPHOSPHATE
",,CH,C,,REL
CH0,"2-{[(3alpha,5alpha,7alpha,8alpha,10alpha,12alpha,17alpha)-3,12-bis{2-[(4-O-alpha-D-glucopyranosyl-beta-D-glucopyranosyl)oxy]ethoxy}cholan-7-yl]oxy}ethyl 4-O-alpha-D-glucopyranosyl-beta-D-glucopyranoside","3,7,12-tris[(-D-maltopyranosyl)ethyloxy]cholane",CH0,,,REL
CH1,3'-DEOXY-CYTIDINE-5'-TRIPHOSPHATE,,CH1,,,REL
CHR,NEOCARZINOSTATIN-CHROMOPHORE,NCS-CHROMOPHORE,CHR,,DB04408,REL
CIC,CITRYL-THIOETHER-COENZYME *A,,CIC,,,REL
CIS,"(15Z)-N-((1S,2R,3E)-2-HYDROXY-1-{[(3-O-SULFO-BETA-D-GALACTOPYRANOSYL)OXY]METHYL}HEPTADEC-3-ENYL)TETRACOS-15-ENAMIDE","(2S,3R,4E)-N-NERVONIC-1-[BETA-D-(3-SULFATE)-GALACTOPYRANOSYL]-2-AMINO-OCTADECENE-3-OL<br> CIS-TETRACOSENOYL SULFATIDE",CIS,,DB04661,REL
CJ1,"7-(2-deoxy-5-O-phosphono-beta-D-erythro-pentofuranosyl)-7H-pyrrolo[2,3-d]pyrimidine-2,4-diol",,CJ1,,,REL
